order_id,order_date,product_id,product_category,price,discount_percent,quantity_sold,customer_region,payment_method,rating,review_count,discounted_price,total_revenue
91,2022-06-17,7184,Sports,85.59,30,6,Asia,UPI,3.7,1546,59.91,359.48
92,2023-04-19,4099,Books,953.45,30,2,Europe,Debit Card,1.1,1436,667.42,1334.83
93,2023-01-24,7278,Fashion,470.11,5,1,Middle East,UPI,3.8,411,446.6,446.6
94,2022-10-04,9392,Fashion,712.94,10,6,Asia,Credit Card,1.0,1003,641.65,3849.88
95,2023-10-18,4104,Home & Garden,805.17,20,2,Europe,Credit Card,1.5,999,644.14,1288.27
96,2023-12-06,8215,Beauty,160.0,25,1,Europe,Wallet,4.8,1084,120.0,120.0
97,2023-07-25,3454,Fashion,54.51,10,9,Asia,Credit Card,3.6,961,49.06,441.53
98,2022-08-13,9996,Sports,137.21,5,6,Asia,Wallet,3.0,1567,130.35,782.1
99,2023-12-03,3731,Electronics,347.54,5,9,Middle East,PayPal,2.0,110,330.16,2971.47
100,2022-11-29,9154,Beauty,956.99,15,7,Europe,Credit Card,4.9,865,813.44,5694.09
101,2022-02-27,6056,Home & Garden,52.35,15,5,Europe,Wallet,4.4,1484,44.5,222.49
102,2022-08-23,9110,Books,920.6,20,7,Asia,Debit Card,3.7,701,736.48,5155.36
103,2022-02-02,4840,Fashion,565.68,10,1,North America,PayPal,3.8,496,509.11,509.11
104,2022-11-20,2028,Home & Garden,111.32,30,6,North America,UPI,4.1,301,77.92,467.54
105,2023-02-15,8385,Electronics,161.22,20,9,North America,Debit Card,3.4,1257,128.98,1160.78
106,2022-10-02,1502,Sports,692.44,20,9,Europe,Cash,3.8,579,553.95,4985.57
107,2022-03-09,7910,Books,612.37,0,3,Europe,PayPal,4.4,292,612.37,1837.11
108,2022-08-05,7938,Books,175.78,0,5,Europe,PayPal,2.5,1995,175.78,878.9
109,2023-08-04,5488,Fashion,905.29,25,8,Europe,PayPal,1.1,355,678.97,5431.74
110,2022-11-19,1206,Electronics,141.57,0,1,Middle East,Cash,3.8,1434,141.57,141.57
111,2022-08-06,6134,Sports,516.46,25,4,Middle East,Debit Card,4.7,231,387.34,1549.38
112,2023-11-03,6977,Sports,533.01,10,5,Middle East,Cash,2.8,864,479.71,2398.54
113,2023-05-27,8721,Sports,871.8,15,2,Asia,Debit Card,4.0,1660,741.03,1482.06
114,2023-02-10,8035,Sports,31.93,10,3,Asia,Cash,1.2,1916,28.74,86.21
115,2023-10-21,2484,Fashion,145.09,0,4,Europe,PayPal,2.0,470,145.09,580.36
116,2023-04-15,8858,Home & Garden,178.97,30,7,Europe,PayPal,1.2,1858,125.28,876.95
117,2022-05-27,1863,Home & Garden,72.25,5,5,Europe,Cash,4.1,1930,68.64,343.19
118,2022-09-29,3790,Home & Garden,635.17,15,8,Middle East,Credit Card,1.9,1933,539.89,4319.16
119,2022-05-23,8408,Fashion,237.3,10,4,Middle East,Cash,1.9,1501,213.57,854.28
120,2022-09-10,9755,Electronics,580.9,30,7,Middle East,Debit Card,2.6,512,406.63,2846.41
121,2023-07-29,6116,Beauty,784.79,0,2,North America,Wallet,1.5,714,784.79,1569.58
122,2023-07-06,7019,Fashion,414.44,0,4,Middle East,Wallet,2.8,1791,414.44,1657.76
123,2022-09-27,2757,Sports,771.16,5,2,Middle East,Cash,4.5,244,732.6,1465.2
124,2023-08-22,8574,Home & Garden,780.09,25,8,North America,UPI,1.9,1901,585.07,4680.54
125,2023-03-15,7374,Home & Garden,270.79,15,7,Europe,PayPal,1.5,137,230.17,1611.2
126,2023-08-21,7892,Electronics,25.59,0,9,Asia,Wallet,2.2,804,25.59,230.31
127,2023-02-13,2678,Sports,112.25,30,6,Europe,Credit Card,2.8,1526,78.57,471.45
128,2023-01-06,4242,Fashion,825.29,25,9,Europe,Cash,2.1,367,618.97,5570.71
129,2022-08-13,5636,Home & Garden,411.25,5,6,North America,UPI,3.8,1324,390.69,2344.12
130,2022-05-22,2059,Electronics,840.71,5,5,Asia,UPI,4.1,381,798.67,3993.37
131,2023-06-06,7668,Sports,552.04,15,5,Europe,Wallet,3.8,1016,469.23,2346.17
132,2023-05-21,4157,Home & Garden,205.42,0,5,Asia,Debit Card,3.4,1895,205.42,1027.1
133,2022-04-04,6915,Beauty,715.11,0,6,Asia,Credit Card,3.0,1250,715.11,4290.66
134,2022-02-18,3693,Books,562.6,15,4,Asia,UPI,3.5,676,478.21,1912.84
135,2022-04-23,4627,Books,358.29,15,8,Europe,PayPal,4.8,1357,304.55,2436.37
136,2022-06-06,6450,Home & Garden,96.84,25,6,Asia,PayPal,1.4,1300,72.63,435.78
137,2023-10-05,2663,Sports,111.28,30,6,North America,Debit Card,4.0,320,77.9,467.38
138,2022-06-13,6592,Home & Garden,196.63,20,5,North America,Credit Card,1.2,1697,157.3,786.52
139,2023-11-28,8392,Books,676.2,25,4,North America,Cash,4.9,1701,507.15,2028.6
140,2023-03-09,2306,Home & Garden,730.69,5,8,Asia,Debit Card,2.5,1846,694.16,5553.24
141,2023-09-03,7776,Home & Garden,634.61,25,4,North America,Cash,3.0,528,475.96,1903.83
142,2022-03-07,6864,Beauty,343.9,30,5,North America,PayPal,1.4,129,240.73,1203.65
143,2023-01-30,8526,Home & Garden,446.07,15,7,Asia,PayPal,4.6,1297,379.16,2654.12
144,2023-01-26,9901,Beauty,712.46,15,5,Asia,Cash,2.4,1105,605.59,3027.96
145,2023-09-03,6575,Sports,663.26,15,7,Europe,UPI,4.0,1440,563.77,3946.4
146,2023-04-25,6530,Beauty,775.28,30,6,North America,Wallet,3.4,1618,542.7,3256.18
147,2023-06-26,5413,Books,248.73,5,6,Asia,Credit Card,2.4,893,236.29,1417.76
148,2022-09-15,4748,Sports,14.44,15,2,Asia,Debit Card,4.8,539,12.27,24.55
149,2023-07-21,1663,Home & Garden,273.78,5,8,Asia,Wallet,3.0,1748,260.09,2080.73
150,2022-01-12,2998,Books,354.41,25,3,Middle East,Wallet,3.6,902,265.81,797.42
151,2023-11-28,8994,Beauty,960.91,5,1,North America,Credit Card,3.9,420,912.86,912.86
152,2022-04-28,2495,Beauty,225.55,10,6,Middle East,Debit Card,4.7,1672,203.0,1217.97
153,2023-11-30,4304,Electronics,828.14,20,2,Asia,Debit Card,4.8,924,662.51,1325.02
154,2023-07-04,4763,Fashion,626.29,30,2,Europe,Wallet,1.2,1530,438.4,876.81
155,2022-10-01,6232,Home & Garden,175.86,20,3,Europe,Cash,2.9,891,140.69,422.06
156,2023-10-19,2853,Fashion,409.47,20,2,Middle East,Credit Card,1.5,140,327.58,655.15
157,2022-12-15,7585,Sports,515.06,30,2,Europe,Credit Card,3.5,1351,360.54,721.08
158,2022-04-25,2291,Books,350.71,15,4,North America,Cash,4.9,474,298.1,1192.41
159,2022-10-28,4581,Fashion,233.89,20,3,Middle East,Cash,3.3,464,187.11,561.34
160,2023-03-22,8554,Sports,260.32,10,3,Europe,Cash,1.2,1554,234.29,702.86
161,2022-06-11,8280,Beauty,589.35,5,8,Europe,PayPal,4.6,1887,559.88,4479.06
162,2023-04-10,2636,Fashion,691.22,25,6,North America,Credit Card,3.2,656,518.42,3110.49
163,2022-01-04,4696,Books,474.28,15,9,North America,Cash,2.6,1691,403.14,3628.24
164,2022-09-27,1698,Electronics,942.32,15,7,Middle East,PayPal,2.2,429,800.97,5606.8
165,2023-05-28,5737,Electronics,731.28,10,2,Asia,Credit Card,4.7,1749,658.15,1316.3
166,2022-07-02,1854,Fashion,892.84,5,1,Asia,Debit Card,1.1,218,848.2,848.2
167,2023-06-04,9164,Electronics,480.91,20,6,Asia,Wallet,4.5,915,384.73,2308.37
168,2022-04-19,6855,Sports,24.73,5,9,Europe,Wallet,1.2,882,23.49,211.44
169,2023-10-03,8392,Home & Garden,596.15,5,5,Europe,UPI,2.1,1853,566.34,2831.71
170,2022-11-02,7528,Books,820.08,0,4,Asia,Cash,3.2,269,820.08,3280.32
171,2023-10-17,6249,Beauty,541.17,20,7,Asia,Wallet,4.8,700,432.94,3030.55
172,2023-06-04,6172,Books,572.22,15,5,North America,PayPal,2.0,1925,486.39,2431.94
173,2023-09-16,2707,Beauty,975.22,10,7,Europe,Cash,4.4,1949,877.7,6143.89
174,2022-07-23,6791,Electronics,372.48,5,3,Asia,PayPal,4.1,281,353.86,1061.57
175,2022-06-06,6535,Sports,803.85,30,2,Asia,Debit Card,1.7,397,562.69,1125.39
176,2023-01-18,5931,Beauty,510.02,0,8,Asia,Cash,1.7,1377,510.02,4080.16
177,2022-06-15,4510,Electronics,469.07,15,5,Middle East,UPI,2.7,1893,398.71,1993.55
178,2023-07-07,1202,Beauty,154.12,10,1,Asia,Credit Card,2.5,609,138.71,138.71
179,2023-06-28,5218,Fashion,750.91,25,9,Europe,Debit Card,3.2,1229,563.18,5068.64
180,2022-01-01,9958,Books,825.06,25,2,Asia,Debit Card,2.4,122,618.79,1237.59
181,2023-09-06,5389,Home & Garden,436.57,30,3,Europe,Cash,2.9,1059,305.6,916.8
182,2022-11-28,3327,Home & Garden,765.9,30,1,Middle East,Debit Card,2.3,1633,536.13,536.13
183,2023-05-16,9004,Sports,585.31,20,9,Middle East,UPI,1.0,413,468.25,4214.23
184,2022-01-20,3931,Electronics,264.98,15,8,Asia,UPI,4.3,145,225.23,1801.86
185,2022-04-25,8777,Sports,924.48,30,5,North America,Credit Card,4.9,1271,647.14,3235.68
186,2023-01-07,1197,Books,699.8,20,5,Asia,Cash,2.4,1843,559.84,2799.2
187,2022-11-11,8125,Home & Garden,879.55,30,6,Europe,UPI,4.1,990,615.68,3694.11
188,2022-09-03,2930,Beauty,288.65,30,4,Asia,Credit Card,2.6,434,202.05,808.22
189,2022-03-01,7287,Beauty,917.2,20,5,Asia,Wallet,1.5,199,733.76,3668.8
190,2022-09-04,9800,Sports,371.02,30,6,Middle East,PayPal,2.2,259,259.71,1558.28
191,2023-08-04,5282,Beauty,19.44,0,5,North America,UPI,4.1,1047,19.44,97.2
192,2022-03-22,3511,Beauty,84.28,5,8,North America,Wallet,5.0,1167,80.07,640.53
193,2022-03-29,1659,Beauty,98.45,20,3,North America,UPI,1.6,1493,78.76,236.28
194,2023-05-13,3811,Fashion,215.07,30,7,Europe,Credit Card,4.3,1836,150.55,1053.84
195,2022-03-12,8098,Electronics,194.66,0,4,North America,Cash,2.6,1692,194.66,778.64
196,2023-06-30,7546,Electronics,67.32,30,3,Europe,UPI,3.1,698,47.12,141.37
197,2022-05-09,2986,Home & Garden,896.44,0,4,Asia,PayPal,4.8,1141,896.44,3585.76
198,2022-05-12,9338,Books,830.03,10,9,Asia,Credit Card,4.9,1680,747.03,6723.24
199,2023-11-07,3911,Beauty,765.2,0,5,North America,Debit Card,3.1,1605,765.2,3826.0
200,2023-05-02,2734,Sports,484.34,15,2,Middle East,PayPal,4.0,673,411.69,823.38
201,2023-07-17,2843,Beauty,430.9,30,1,North America,Credit Card,2.7,569,301.63,301.63
202,2022-06-19,9680,Books,431.11,20,2,Asia,PayPal,3.4,1821,344.89,689.78
203,2022-09-29,3976,Beauty,269.15,25,9,Europe,Cash,2.0,1870,201.86,1816.76
204,2023-06-25,2959,Fashion,612.18,0,1,Europe,UPI,3.8,1556,612.18,612.18
205,2023-09-14,6759,Books,68.49,20,7,Europe,Credit Card,3.1,1434,54.79,383.54
206,2023-03-10,7694,Electronics,662.2,20,5,Europe,UPI,2.5,1822,529.76,2648.8
207,2022-08-05,3385,Electronics,518.72,5,3,Europe,PayPal,3.1,318,492.78,1478.35
208,2023-07-07,5736,Fashion,818.36,15,2,Asia,PayPal,2.3,1123,695.61,1391.21
209,2023-12-08,2802,Electronics,973.01,0,7,Middle East,Debit Card,3.7,491,973.01,6811.07
210,2022-07-25,9155,Home & Garden,877.84,25,8,Europe,Cash,2.7,1727,658.38,5267.04
211,2024-01-01,9120,Fashion,722.72,20,7,Asia,PayPal,3.3,1403,578.18,4047.23
212,2022-11-16,7616,Electronics,438.46,15,7,Europe,Credit Card,3.5,560,372.69,2608.84
213,2023-02-13,6534,Electronics,222.38,25,3,North America,Debit Card,1.1,476,166.78,500.36
214,2023-11-19,5061,Home & Garden,668.22,30,9,Asia,UPI,2.7,1730,467.75,4209.79
215,2023-10-28,1262,Beauty,209.58,5,5,Europe,PayPal,2.5,333,199.1,995.5
216,2023-01-18,7287,Books,30.06,25,3,Asia,PayPal,4.8,988,22.54,67.63
217,2023-03-25,9815,Electronics,577.5,10,3,Middle East,Credit Card,1.2,870,519.75,1559.25
218,2023-06-14,3049,Books,400.19,5,1,Middle East,Debit Card,4.7,1471,380.18,380.18
219,2023-04-08,6423,Books,877.26,0,6,North America,Wallet,2.7,1812,877.26,5263.56
220,2022-05-04,5548,Electronics,649.32,0,7,Middle East,Cash,2.6,357,649.32,4545.24
221,2022-09-11,4108,Books,650.78,20,4,Middle East,Credit Card,1.7,377,520.62,2082.5
222,2022-08-19,8158,Home & Garden,790.01,15,4,Europe,PayPal,4.4,1407,671.51,2686.03
223,2022-03-07,8400,Fashion,342.3,5,3,Middle East,UPI,1.1,1296,325.18,975.56
224,2022-12-13,4170,Home & Garden,958.59,30,8,Europe,PayPal,4.7,775,671.01,5368.1
225,2022-01-22,3255,Sports,229.11,15,7,Asia,Cash,2.9,1419,194.74,1363.2
226,2023-08-26,2154,Fashion,872.96,20,8,Asia,Credit Card,3.3,792,698.37,5586.94
227,2023-07-22,5499,Electronics,911.73,10,9,Europe,Wallet,2.5,1923,820.56,7385.01
228,2022-08-24,7295,Fashion,48.65,0,9,Europe,Debit Card,4.6,701,48.65,437.85
229,2023-08-26,7197,Home & Garden,635.5,30,4,Middle East,Credit Card,4.9,1034,444.85,1779.4
230,2022-08-14,2648,Sports,751.93,15,5,Middle East,Cash,1.7,951,639.14,3195.7
231,2022-01-08,6539,Fashion,954.29,0,6,Asia,Cash,4.3,1790,954.29,5725.74
232,2022-03-14,5199,Books,258.87,30,5,Middle East,Debit Card,2.4,1727,181.21,906.04
233,2023-12-26,9445,Electronics,566.23,20,1,Asia,PayPal,2.2,745,452.98,452.98
234,2023-10-09,3557,Books,775.39,25,8,Europe,PayPal,3.1,1627,581.54,4652.34
235,2022-03-02,6592,Books,156.87,10,3,North America,Debit Card,3.0,1920,141.18,423.55
236,2022-08-23,1098,Electronics,854.45,5,8,Asia,Debit Card,1.9,1350,811.73,6493.82
237,2022-03-11,3200,Electronics,409.6,30,7,Asia,Credit Card,3.9,1951,286.72,2007.04
238,2022-02-02,3961,Beauty,643.35,15,4,Asia,Credit Card,1.6,169,546.85,2187.39
239,2022-12-05,5973,Sports,51.62,0,7,Asia,Debit Card,4.1,1820,51.62,361.34
240,2022-03-14,5433,Books,230.71,10,3,Europe,UPI,4.4,544,207.64,622.92
241,2023-06-11,3869,Home & Garden,483.4,0,5,North America,Debit Card,2.6,1929,483.4,2417.0
242,2022-09-01,1956,Books,296.32,0,3,Middle East,Debit Card,5.0,944,296.32,888.96
243,2022-10-13,9352,Electronics,958.26,20,8,North America,PayPal,4.5,1863,766.61,6132.86
244,2023-11-17,6699,Electronics,796.98,30,9,Middle East,Cash,2.6,646,557.89,5020.97
245,2023-05-13,7944,Fashion,866.23,10,9,Middle East,PayPal,3.0,1756,779.61,7016.46
246,2022-08-08,5493,Books,471.65,20,3,Europe,Wallet,2.4,1624,377.32,1131.96
247,2023-07-07,5911,Books,478.91,20,7,North America,Credit Card,4.5,1740,383.13,2681.9
248,2022-05-16,4987,Electronics,807.14,15,2,Europe,Debit Card,2.9,1514,686.07,1372.14
249,2023-08-08,7015,Home & Garden,393.66,25,2,Asia,UPI,5.0,1362,295.24,590.49
250,2023-08-14,2218,Home & Garden,486.04,25,9,Middle East,Credit Card,3.1,1415,364.53,3280.77
251,2023-04-30,5496,Books,533.3,5,8,Europe,PayPal,4.1,752,506.63,4053.08
252,2022-09-06,5735,Sports,611.09,5,9,Middle East,UPI,2.5,353,580.54,5224.82
253,2023-04-30,5555,Beauty,653.47,20,9,Middle East,Credit Card,4.5,824,522.78,4704.98
254,2023-02-21,9050,Electronics,683.94,20,8,North America,Credit Card,4.7,118,547.15,4377.22
255,2022-07-14,4446,Electronics,449.57,0,4,Middle East,Debit Card,1.8,1220,449.57,1798.28
256,2022-04-07,2045,Books,302.2,0,9,Europe,Credit Card,4.0,121,302.2,2719.8
257,2022-04-10,7893,Home & Garden,920.95,10,3,Europe,Debit Card,1.4,1595,828.86,2486.56
258,2023-11-06,2693,Beauty,828.45,15,9,Asia,Cash,4.5,1651,704.18,6337.64
259,2023-03-18,4436,Beauty,13.4,20,9,Europe,Wallet,4.6,757,10.72,96.48
260,2022-12-29,9754,Home & Garden,517.79,0,5,Middle East,PayPal,2.4,1609,517.79,2588.95
261,2023-03-10,6895,Electronics,281.86,30,6,North America,PayPal,4.8,893,197.3,1183.81
262,2023-02-25,4354,Electronics,646.3,25,7,Asia,Credit Card,1.0,1093,484.72,3393.08
263,2023-04-24,1225,Electronics,507.61,5,5,Asia,Wallet,3.0,1299,482.23,2411.15
264,2022-02-25,5893,Sports,30.95,20,9,North America,Cash,4.9,761,24.76,222.84
265,2023-11-21,8022,Books,730.49,15,3,Middle East,Credit Card,2.2,503,620.92,1862.75
266,2023-11-01,6600,Sports,282.63,15,7,Europe,Debit Card,1.3,1184,240.24,1681.65
267,2023-10-24,8996,Electronics,267.63,20,6,North America,Credit Card,1.5,656,214.1,1284.62
268,2022-04-11,8683,Beauty,41.61,25,7,North America,Debit Card,2.8,1720,31.21,218.45
269,2022-03-04,5642,Books,830.05,30,4,Europe,UPI,2.7,322,581.04,2324.14
270,2023-02-17,8679,Books,583.05,0,6,Europe,Wallet,3.3,262,583.05,3498.3
271,2022-12-14,9208,Home & Garden,489.99,5,8,North America,PayPal,1.7,1139,465.49,3723.92
272,2022-04-22,8339,Electronics,679.05,0,8,Europe,UPI,4.4,133,679.05,5432.4
273,2022-09-12,3205,Electronics,351.92,20,4,North America,PayPal,1.9,1752,281.54,1126.14
274,2022-07-16,2069,Electronics,573.78,30,3,Europe,Credit Card,2.3,757,401.65,1204.94
275,2022-07-14,4444,Electronics,256.78,0,3,Asia,Cash,4.5,1750,256.78,770.34
276,2023-07-04,2060,Electronics,72.33,10,6,North America,UPI,1.6,1477,65.1,390.58
277,2023-04-05,3327,Electronics,565.73,10,4,North America,Wallet,3.3,1077,509.16,2036.63
278,2022-05-24,4420,Books,228.98,0,7,Asia,Debit Card,3.1,898,228.98,1602.86
279,2023-03-09,1301,Sports,752.54,10,2,Asia,Credit Card,2.9,1201,677.29,1354.57
280,2022-07-07,1606,Beauty,457.32,0,7,Middle East,UPI,3.2,932,457.32,3201.24
281,2022-10-13,4170,Electronics,257.89,10,6,Europe,UPI,1.6,935,232.1,1392.61
282,2023-04-19,1699,Beauty,612.26,15,1,Middle East,Debit Card,2.3,753,520.42,520.42
